date,price,spot_vol_1d,miner_balance
4/21/2016,451.6680756,36783144.44,1931203.663
4/22/2016,448.0902333,31352176.85,1932244.607
4/23/2016,455.4868985,29617839.71,1932294.963
4/24/2016,462.2531786,41849441.3,1934237.366
4/25/2016,464.579834,53947771.68,1933633.269
4/26/2016,469.6017138,47658129.03,1930361.062
4/27/2016,444.598138,62324366.43,1931211.241
4/28/2016,451.7265497,48304982.42,1931490.415
4/29/2016,457.4444087,28839629.15,1933039.795
4/30/2016,453.3580726,46852382.49,1933104.609
5/1/2016,454.3377403,23284958.64,1935545.232
5/2/2016,445.7292786,68655753,1935335.449
5/3/2016,451.5018549,36148551.81,1936613.11
5/4/2016,448.0019374,27394421.97,1938032.494
5/5/2016,449.2282266,29056880.55,1939251.924
5/6/2016,460.9599713,46565987.02,1939457.726
5/7/2016,461.13806,21605741.79,1940850.687
5/8/2016,461.5625344,22913285.36,1941947.612
5/9/2016,463.847818,32313953.57,1942315.464
5/10/2016,452.3892392,38540845.88,1942291.272
5/11/2016,454.461393,29793736.28,1942897.5
5/12/2016,455.538562,42875716.71,1936927.891
5/13/2016,457.608347,40306206.39,1937131.167
5/14/2016,458.4449159,25811222.95,1937855.493
5/15/2016,460.9721198,18694633.8,1938761.526
5/16/2016,454.6210663,41191305.9,1939700.371
5/17/2016,453.8437385,47895346.96,1940685.813
5/18/2016,454.9559643,72758004.87,1941847.966
5/19/2016,438.5470537,79069605.55,1941971.792
5/20/2016,445.2144546,67332517.34,1943507.349
5/21/2016,445.7950017,32669238.84,1943583.3
5/22/2016,441.1173718,29933315.97,1946206.703
5/23/2016,445.0955493,37946677.09,1943152.9
5/24/2016,445.7460073,54234793.76,1943416.934
5/25/2016,451.3402891,49689980.46,1944208.199
5/26/2016,454.0834911,50400596.27,1944972.287
5/27/2016,470.6678659,130004685.9,1945614.081
5/28/2016,523.401067,136484230,1945950.314
5/29/2016,522.4012689,120663359.7,1947075.941
5/30/2016,531.7697242,59750117.38,1946155.864
5/31/2016,531.5451115,99309134.49,1945111.635
6/1/2016,534.9292312,58143100.1,1941317.562
6/2/2016,538.0219158,37564286.74,1942494.742
6/3/2016,570.024911,86153606.01,1944396.487
6/4/2016,574.1044871,72046247.28,1943571.024
6/5/2016,574.6507221,55751795.25,1945255.982
6/6/2016,585.2448605,53932828.64,1946635.851
6/7/2016,578.1194884,77670661.85,1945938.795
6/8/2016,583.0049348,50517250.82,1947141.181
6/9/2016,577.0760451,42115189.09,1948437.927
6/10/2016,579.8212995,39631860.73,1949087.136
6/11/2016,607.1743038,52222186.31,1950784.578
6/12/2016,671.0887767,195354196.7,1948628.939
6/13/2016,705.2537025,187960579.4,1926790.273
6/14/2016,685.1158454,143337678.4,1928317.377
6/15/2016,697.4923347,73417281.11,1925795.578
6/16/2016,768.6542678,213418812.4,1926135.04
6/17/2016,752.9334092,320751179.7,1927130.011
6/18/2016,757.3416662,208826922.7,1928233.227
6/19/2016,767.4518265,120943257.1,1928405.122
6/20/2016,715.3350486,209886828.5,1922537.711
